Date,Index,Open,High,Low,Close,Adj Close,Volume,Market Closed,Adj Close Moving Average 10,Adj Close Moving Average 21
2020-03-02,GSPTSE,16325.0,16566.69922,16166.29981,16553.30078,16553.30078,37472150000.0,False,16553.30078,16553.30078
2020-03-03,GSPTSE,16674.90039,16798.19922,16378.29981,16423.59961,16423.59961,39312790000.0,False,16488.450195,16488.450195
2020-03-04,GSPTSE,16659.90039,16779.5,16539.40039,16779.5,16779.5,27371860000.0,False,16585.466796666668,16585.466796666668
2020-03-05,GSPTSE,16541.59961,16684.90039,16456.69922,16554.0,16554.0,31301230000.0,False,16577.6000975,16577.6000975
2020-03-06,GSPTSE,16222.09961,16261.5,16015.79981,16175.0,16175.0,37470380000.0,False,16497.080078,16497.080078
2020-03-07,GSPTSE,16222.09961,16261.5,16015.79981,16175.0,16175.0,37470380000.0,True,16443.400064999998,16443.400064999998
2020-03-08,GSPTSE,16222.09961,16261.5,16015.79981,16175.0,16175.0,37470380000.0,True,16405.057198571427,16405.057198571427
2020-03-09,GSPTSE,15221.79981,15240.29981,14498.29981,14514.2002,14514.2002,55922740000.0,False,16168.70007375,16168.70007375
2020-03-10,GSPTSE,15019.0,15048.79981,14481.90039,14958.09961,14958.09961,57100130000.0,False,16034.18891111111,16034.18891111111
2020-03-11,GSPTSE,14639.7002,14714.2002,14185.2002,14270.09961,14270.09961,46899090000.0,False,15857.779981,15857.779981
2020-03-12,GSPTSE,13611.79981,13611.79981,12451.09961,12508.5,12508.5,67833290000.0,False,15453.299903000001,15553.299982727272
2020-03-13,GSPTSE,13161.59961,13716.29981,12608.29981,13716.29981,13716.29981,66932870000.0,False,15182.569923,15400.216634999999
2020-03-14,GSPTSE,13161.59961,13716.29981,12608.29981,13716.29981,13716.29981,66932870000.0,True,14876.249904,15270.68457153846
2020-03-15,GSPTSE,13161.59961,13716.29981,12608.29981,13716.29981,13716.29981,66932870000.0,True,14592.479885000002,15159.657088571428
2020-03-16,GSPTSE,12648.7002,12851.7002,11883.7002,12360.40039,12360.40039,52566830000.0,False,14211.019924000002,14973.039975333335
2020-03-17,GSPTSE,12525.29981,13114.5,12322.7002,12685.2002,12685.2002,61874520000.0,False,13862.039944,14830.049989375
2020-03-18,GSPTSE,12197.7002,12500.0,11384.09961,11721.40039,11721.40039,58943700000.0,False,13416.679983,14647.188248235294
2020-03-19,GSPTSE,11657.29981,12294.40039,11361.29981,12170.5,12170.5,53158630000.0,False,13182.309963000002,14509.594456666666
2020-03-20,GSPTSE,12335.7002,12670.79981,11809.40039,11851.79981,11851.79981,72789030000.0,False,12871.679983,14369.710527894737
2020-03-21,GSPTSE,12335.7002,12670.79981,11809.40039,11851.79981,11851.79981,72789030000.0,True,12629.850003000001,14243.814992
2020-03-22,GSPTSE,12335.7002,12670.79981,11809.40039,11851.79981,11851.79981,72789030000.0,True,12564.179984,14129.909507142856
2020-03-23,GSPTSE,11802.79981,11870.59961,11172.7002,11228.5,11228.5,47324150000.0,False,12315.400002999999,13876.347565238095
2020-03-24,GSPTSE,11909.7002,12588.29981,11823.90039,12571.09961,12571.09961,48933250000.0,False,12200.879983,13692.895184285715
2020-03-25,GSPTSE,12588.09961,13690.40039,12496.29981,13139.2002,13139.2002,55312680000.0,False,12143.170022,13519.547574761902
2020-03-26,GSPTSE,13154.09961,13592.29981,13138.29981,13371.2002,13371.2002,47104740000.0,False,12244.250003000001,13367.985679523808
2020-03-27,GSPTSE,12942.90039,12963.59961,12630.29981,12687.7002,12687.7002,45337800000.0,False,12244.500003,13201.923784285715
2020-03-28,GSPTSE,12942.90039,12963.59961,12630.29981,12687.7002,12687.7002,45337800000.0,True,12341.129984000001,13035.861889047621
2020-03-29,GSPTSE,12942.90039,12963.59961,12630.29981,12687.7002,12687.7002,45337800000.0,True,12392.850004,12869.799993809524
2020-03-30,GSPTSE,12780.90039,13048.40039,12549.0,13038.5,13038.5,38824650000.0,False,12511.520023,12799.528555714283
2020-03-31,GSPTSE,13083.90039,13557.59961,13083.90039,13378.79981,13378.79981,49899390000.0,False,12664.220022999998,12724.323803333333
2020-04-01,GSPTSE,12966.79981,13138.09961,12814.0,12876.40039,12876.40039,37301320000.0,False,12766.680081,12657.957173809522
2020-04-02,GSPTSE,12946.59961,13248.59961,12921.0,13097.79981,13097.79981,44604160000.0,False,12953.610062,12686.01906952381
2020-04-03,GSPTSE,13108.29981,13171.2002,12829.40039,12938.29981,12938.29981,35498890000.0,False,12990.330081999999,12648.971450476192
2020-04-04,GSPTSE,13108.29981,13171.2002,12829.40039,12938.29981,12938.29981,35498890000.0,True,12970.240043000002,12611.923831428572
2020-04-05,GSPTSE,13108.29981,13171.2002,12829.40039,12938.29981,12938.29981,35498890000.0,True,12926.950004,12574.876212380954
2020-04-06,GSPTSE,13362.40039,13603.0,13300.09961,13592.7002,13592.7002,38678430000.0,False,13017.450004,12633.557155714285
2020-04-07,GSPTSE,13937.90039,14062.7002,13571.5,13614.09961,13614.09961,40091790000.0,False,13110.089945,12677.79046095238
2020-04-08,GSPTSE,13726.0,13964.90039,13588.40039,13925.7002,13925.7002,37416360000.0,False,13233.889944999999,12782.757118571428
2020-04-09,GSPTSE,14082.0,14329.2002,14010.7002,14166.59961,14166.59961,43730120000.0,False,13346.699906,12877.80948095238
2020-04-10,GSPTSE,14082.0,14329.2002,14010.7002,14166.59961,14166.59961,43730120000.0,True,13425.479886000001,12988.038042857142
2020-04-11,GSPTSE,14082.0,14329.2002,14010.7002,14166.59961,14166.59961,43730120000.0,True,13554.499807999999,13098.266604761906
2020-04-12,GSPTSE,14082.0,14329.2002,14010.7002,14166.59961,14166.59961,43730120000.0,True,13661.379788,13208.495166666668
2020-04-13,GSPTSE,14195.09961,14197.59961,13889.29981,14075.90039,14075.90039,32641010000.0,False,13775.139846,13344.085661428573
2020-04-14,GSPTSE,14239.09961,14440.90039,14110.7002,14258.40039,14258.40039,33590230000.0,False,13907.149904,13424.433317619047
2020-04-15,GSPTSE,14010.90039,14071.0,13900.7002,13958.59961,13958.59961,31561150000.0,False,14009.179884000001,13463.452337142859
2020-04-16,GSPTSE,14024.79981,14056.90039,13874.7002,13899.29981,13899.29981,28839570000.0,False,14039.839845,13488.599937619048
2020-04-17,GSPTSE,14079.29981,14365.79981,14079.29981,14359.90039,14359.90039,37404550000.0,False,14114.419923,13568.228518095237
2020-04-18,GSPTSE,14079.29981,14365.79981,14079.29981,14359.90039,14359.90039,37404550000.0,True,14157.839942,13647.857098571429
2020-04-19,GSPTSE,14079.29981,14365.79981,14079.29981,14359.90039,14359.90039,37404550000.0,True,14177.17002,13727.485679047617
2020-04-20,GSPTSE,14132.79981,14509.79981,14075.79981,14388.29981,14388.29981,33470950000.0,False,14199.34004,13791.761860476188
2020-04-21,GSPTSE,14106.5,14307.7002,13940.09961,13940.09961,13940.09961,30712960000.0,False,14176.690040000001,13818.490422380952
2020-04-22,GSPTSE,14212.90039,14305.0,14113.0,14288.2002,14288.2002,26717410000.0,False,14188.850099,13885.718984761907
2020-04-23,GSPTSE,14329.40039,14422.40039,14238.7002,14251.09961,14251.09961,31105830000.0,False,14206.370021,13940.638022857145
2020-04-24,GSPTSE,14337.59961,14433.7002,14242.79981,14420.40039,14420.40039,32367900000.0,False,14222.570020999998,14011.214240952379
2020-04-25,GSPTSE,14337.59961,14433.7002,14242.79981,14420.40039,14420.40039,32367900000.0,True,14268.750099,14081.790459047617
2020-04-26,GSPTSE,14337.59961,14433.7002,14242.79981,14420.40039,14420.40039,32367900000.0,True,14320.860157,14152.366677142858
2020-04-27,GSPTSE,14492.0,14649.59961,14404.59961,14642.09961,14642.09961,28451940000.0,False,14349.080079000001,14202.338077619048
2020-04-28,GSPTSE,14767.59961,14856.0,14658.7002,14798.29981,14798.29981,29771130000.0,False,14392.920021000002,14258.728563333332
2020-04-29,GSPTSE,15003.0,15257.90039,15002.09961,15228.09961,15228.09961,37131890000.0,False,14479.739942999999,14320.747582857144
2020-04-30,GSPTSE,15114.79981,15114.79981,14767.09961,14780.7002,14780.7002,40359980000.0,False,14518.979981999999,14349.990468095237
2020-05-01,GSPTSE,14563.0,14661.2002,14520.2002,14620.29981,14620.29981,28732120000.0,False,14587.000001999997,14371.59523952381
2020-05-02,GSPTSE,14563.0,14661.2002,14520.2002,14620.29981,14620.29981,28732120000.0,True,14620.209963000001,14393.20001095238
2020-05-03,GSPTSE,14563.0,14661.2002,14520.2002,14620.29981,14620.29981,28732120000.0,True,14657.129983,14414.804782380952
2020-05-04,GSPTSE,14554.2002,14745.0,14518.09961,14745.0,14745.0,29509350000.0,False,14689.589944000001,14446.666668571426
2020-05-05,GSPTSE,14899.40039,14943.7002,14764.09961,14811.59961,14811.59961,29757570000.0,False,14728.709866000001,14473.00948857143
2020-05-06,GSPTSE,14855.40039,14909.59961,14744.29981,14830.7002,14830.7002,30269080000.0,False,14769.739847,14514.538088095236
2020-05-07,GSPTSE,14963.2002,15016.0,14815.79981,14833.7002,14833.7002,31463120000.0,False,14788.899906,14559.033344761903
2020-05-08,GSPTSE,14958.2002,14985.59961,14898.5,14966.59961,14966.59961,31219220000.0,False,14805.729886000001,14587.923783809523
2020-05-09,GSPTSE,14958.2002,14985.59961,14898.5,14966.59961,14966.59961,31219220000.0,True,14779.579886000001,14616.814222857143
2020-05-10,GSPTSE,14958.2002,14985.59961,14898.5,14966.59961,14966.59961,31219220000.0,True,14798.169827,14645.704661904761
2020-05-11,GSPTSE,14901.90039,15118.79981,14852.79981,15103.2002,15103.2002,24960520000.0,False,14846.459866000001,14679.747537619049
2020-05-12,GSPTSE,15161.5,15184.90039,14881.2002,14881.2002,14881.2002,30666530000.0,False,14872.549904999998,14724.561851428572
2020-05-13,GSPTSE,14898.09961,14898.09961,14419.90039,14503.2002,14503.2002,31164400000.0,False,14860.839943999998,14734.799946666668
2020-05-14,GSPTSE,14346.2002,14553.09961,14187.5,14509.7002,14509.7002,30762210000.0,False,14837.309963999996,14747.11426047619
2020-05-15,GSPTSE,14504.29981,14657.59961,14447.90039,14638.90039,14638.90039,28694650000.0,False,14820.040041999999,14757.51902238095
